kd_mk,nm_mk,sks,kd_prodi
LSE 101,Bahasa Indonesia I (Kecakapan Berpikir),2,LSE
LSE 103,Olah Raga,1,LSE
LSE 105,Bahasa Inggris I (English as a Foreign Language),2,LSE
LSE 107,Pengantar Ilmu Pengetahuan Sosial I (Psikologi & Sosiologi),3,LSE
LSE 109,Pengantar Ilmu Pengetahuan Alam I (Biologi dan Fisika),3,LSE
LSE 111,Perkembangan Teknologi Informasi & Komunikasi,2,SIF
SIF 101,Pengantar Sistem Informasi,2,SIF
SIF 103,Fondasi Algoritma dan Konsep Pemrograman,4,SIF
"LSE 102,""Bahasa Indonesia II (Teknik Penyampaian Gagasan dan Penulisan Ilmiah)"",2,LSE"
"LSE 104,""Bahasa Inggris II (English for Academic Writing)"",2,LSE"
"LSE 106,""Pengantar Ilmu Pengetahuan Alam II (Kimia dan Earth Science/Ilmu Tanah)"",2,LSE"
"LSE 108,""Ilmu Pengetahuan Sosial II (Antropologi dan Kependudukan)"",2,LSE"
LSE 110,Kewarganegaraan,2,LSE
LSE 112,Olah raga II,1,LSE
MGT xxx,Pengantar Bisnis,3,SIF
SIF 102,Struktur Data,4,SIF
SIF 104,Bahasa Pemrograman,2,SIF
LSE 205,Agama,2,LSE
LSE 207,Etika ,2,LSE
"LSE 209,""Apresiasi Seni  (Visual Arts, Music & Performance Arts)"",2,LSE"
SIF 201,Sistem Basis Data,3,SIF
SIF 203,Aljabar Linear,3,SIF
MGT 201,Manajemen,3,SIF
SIF 211,Analisis Proses Bisnis,3,SIF
SIF 212,Mobile Technology,2,SIF
SIF 221,Sistem Informasi Manajemen,3,SIF
SIF 222,Enterprise Resource Planning (administrasi bisnis dan sistem Informasi),3,SIF
SIF 206,Perancangan & Pemrograman Web,3,SIF
SIF 204,Perancangan Basis Data,3,SIF
SIF 223,Teknik Aplikasi Multimedia,3,SIF
SIF 224,Interaksi Manusia Komputer,3,SIF
"LSE 201,""Pengantar Sustainable Eco-Development (Dasar)"",3,LSE"
"LSE 203,""Kewirausahaan (Dasar)"",3,LSE"
SIF 311,Knowledge Management (managing the knowledge of and in organizations),3,SIF
SIF 312,Data WareHouse,3,SIF
SIF 313,Analisa & Perancangan Sistem,3,SIF
SIF 314,Rekayasa Perangkat Lunak,4,SIF
SIF 306,Business Intelligence,3,SIF
MGT 205,Statistika Bisnis,3,SIF
LSE 204,Komputer dan Masyarakat (applied SED2),3,SIF
SIF 321,Metode Penelitian,3,SIF
SIF 322,Manajemen Proyek SI,3,SIF
SIF 324,Keamanan Informasi,3,SIF
LSE 202,E-Commerce (in Applied Business Plan),3,SIF
SIF 405,Kerja Praktek,3,SIF
SIF 411,Testing dan Implementasi SI,2,SIF
SIF 412,Jaringan Komputer,3,SIF
SIF 413,Administrasi Sistem,2,SIF
SIF 404,Skripsi,6,SIF
